company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Apple,stage1,Apple-I retail price as actually printed in 1976,"Kilobaud's 1976 items carry no text layer in this cache and Creative Computing is unmined; BYTE holds no Apple-placed 1976 advertisement at all (A2-18)",HIGH,"A2-26 ""a price under $700 at the retail level"" (founder's rounded band, May 1977); the dealer discount formula A2-12",UNKNOWN on the figure,"Intake Kilobaud 1976-09/11 and Creative Computing 1976 from Internet Archive into sources/, then local OCR; grep for an Apple-placed price line"
Apple,stage1,"Any 1976-77 revenue, unit count or dealer order for Apple",No founding-era financial document of any kind surfaced in the four cached families; the 1980 prospectus is paper-only behind the 1994-01-26 EDGAR floor,HIGH,"FY1978 sales $7.8M / profit $793,497 in one unsigned BYTE February 1981 column (A2-49)",UNKNOWN,Scripted EDGAR intake cannot reach it; route is SEC paper (Public Reference Room / National Archives) or an IPO-era newspaper story in the unbuilt Creative Computing / InfoWorld family
Apple,stage1,Text and clauses of the 1976-04-01 partnership agreement and the 1976-04-12 amendment letter,Christie's lot text fetch failed (artnet 403); only the catalogue's description and secondary coverage are held (D DG-D3),HIGH,C-27/C-28/C-29/C-34 (catalogue of a dated primary); the 45/45/10 and duties as catalogued,"Medium on existence, Low on terms", Low on terms
Apple,stage1,Supplier of any component and the assembly arrangement for the Apple-I,"No procurement, payroll, lease or vendor document exists in any cached family; the trade press did not print supply interiors",MEDIUM,"A2-26 'completely assembled and tested'; A2-28's derived factory-vs-aftermarket memory spread ($25 vs $31.25-37.50 per 1K)",UNKNOWN,"Period trade-journal search for hobby-board assembly houses and 6502 distributors (SynTech-era wholesale), plus county UCC filings if any are online for 1976-77"
Apple,stage1,Officer titles and governance roles for any principal in 1976-77,"The corpus is a trade archive that printed no corporate personnel news for this firm; no occurrence of president/VP/chairman/treasurer/secretary/board/officer joins an Apple name (C-13)",HIGH,"1976-04-01 duties as catalogued by the auction house (C-29); absence of titles in A2-33's personnel box",not establishable in the Stage-1 record,"California Secretary of State entity file and Santa Clara County recorder search (C-07 route, tried and unanswered)"
Apple,stage1,U.025 Record-integrity defects: provenance-header contamination and a mis-pointed conflict key,"The probe's headers cause false positives in ten of thirteen Homebrew files when lines 1-5 are not included (A2-05, A2-77), and s1_p1 record S1P1-10 points its Conflicts cell at S1P1-CF-09 instead of the offering-arithmetic conflict",HIGH,"A2-05, A2-77; s1_p1 S1P1-10 and S1P1-CF-09 as written",High,Re-run every cached grep with the header-exclusion recipe and re-key S1P1-10's Conflicts cell to U.011 at merge
Apple,stage1,U.026 No in-window printed price or manufacturer's list for the first product,"Exhaustive token pass over twelve 1976 BYTE issues plus Homebrew 1975-11 to 1977-01 with headers excluded; the 1976 Kilobaud items have no text layer and Creative Computing is unmined (A2-23, AP-22)",VERY HIGH,A2-26 founder band 'under $700'; A2-12 dealer discount formula proving a list existed,High on the null / UNKNOWN on the figure,Intake Kilobaud 1976-09 and 1976-11 and Creative Computing 1976 to sources/ then local OCR then grep for an Apple-placed price line
Apple,stage1,"U.027 No order, invoice, shipment, payment, reorder or return document of any kind",No transaction paper exists in any cached family and the trade press did not print dealer settlement (A2-62),VERY HIGH,A2-08/A2-12 dealer stock evidence; A2-35 the 1977 store directory,High,Seek the 1976-04-01 and 1976-04-12 instrument texts (U.039) and any Kilobaud or Creative Computing commercial page
Apple,stage1,U.028 No in-window trace of a capital event or of A. C. Markkula,"Zero occurrences of the name before February 1981 across 31 cached files; print reported share counts and not cap-table negotiations (C-11, A2-51)",HIGH,"C-11's single 1981 sentence (name, age, holding)",High that no document carries the terms / UNKNOWN on the terms,Search Creative Computing 1977-78 people items and BYTE Aug 1977 to Nov 1980; then the paper 1980 prospectus
Apple,stage1,U.029 No in-window trace of Ronald Wayne,"Zero body occurrences in 16 BYTE issues and 13 newsletters; 23 unrelated hits itemised (C-21, A2-73)",HIGH,C-27/C-28 the two dated signatures; his 2022 written account,High within these files / Medium overall,Request the 1976 instrument and amendment text and any court record of his later suit to clear his name
Apple,stage1,U.030 Maker-print absence cannot be read as decision,Apple placed no advertisement of its own in any 1976 document (AP-22 re-confirmed A2-18/A2-65) and the first product appears in no maker advertisement after May 1977 with no discontinuation notice,HIGH,A2-18/A2-65 censuses; A2-72 and C-19 on the withdrawal reading,Medium-High on the absences / UNKNOWN on every reading,Intake the uncached BYTE months and the Kilobaud family and re-run the advertiser-name census
Apple,stage1,U.031 No officer or governance record for any principal in 1976-77,"C-13's census found no title joined to an Apple name, and the registry route that would hold a statement of information was tried and unanswered (C-07)",HIGH,C-29's catalogue of functional duties,High as a null / Medium as a general statement,California Secretary of State paper charter and statement of information for 1977 (U.042)
Apple,stage1,"U.032 No 1975 document names the machine, the venture or either founder","Searched hcc0109, hcc0110 and the six cached 1976-01 to 1976-06 BYTE issues with headers excluded; Homebrew Vol 1 No 1-8 (1975-03 to 1975-10) is not on disk so the null is bounded",HIGH,"A2-05, A2-76, AP-26 all carrying the header caveat",High within the cached span,Enumerate and cache the missing Homebrew items via the archive.org advancedsearch query recorded in section X.4 then grep with headers excluded
Apple,stage1,U.033 The 1976-11-20 demonstration rests on one friendly witness published five months later,Helmers was a friend of the subjects and BYTE was commercially engaged in the category (four issues of Byte Shop vendor advertising precede Apple's first print) (A2-48),MEDIUM-HIGH,A2-31/A2-59 as published April 1977,Medium-High,Search for a second attendee account in the uncached BYTE run and in Creative Computing 1977
Apple,stage1,U.034 No in-window intellectual-property record; the patent read was non-exhaustive,"Earliest Apple-assigned US application is 1977-04-11 (C-35); page 2 of the register result set was not examined, so this is a search null not a register null",MEDIUM,C-35's register dates and inventors,Medium-High,Re-run the assignment search to exhaustion and read the granted specification's assignee block
Apple,stage1,U.035 The partnership's liability posture is unrecorded,"No 1976 document asserts limited liability and the only direct statement is a 2022 participant memory (C-18, AP-29)",MEDIUM,C-18's paired reading of the 1994 filing sentence and the 1976 absence,High on the absence / Low-Medium on the posture,Any creditor or court record of partnership debts in 1976-77 (U.048)
Apple,stage1,U.036 The negative-reception layer is absent as a class,"No complaint, returns, warranty, cancellation or critical review of either machine occurs in-window; the source group printed almost none",MEDIUM,The counted negatives at section M.1-M.2,High,Intake BYTE Aug 1977 to Nov 1980 and general-interest press; re-run with headers excluded
