company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Walmart,stage1,Any document naming the company before 1972-03-22,"The corpus contains none. Nine printed reports start FY1972; EDGAR's electronic history starts 1994-02-14; web archives start 1996-12-29; the whole periodical family returned zero namings across 13 BW index volumes, 8 *Stores* apparatuses and 2 SEC government documents",High,"The absence is itself the evidence, and it is measured: S0112–S0136, A5-03/A5-04, nine-file enumeration",High (that the corpus is silent) — NOT a null about the world,"RUN THE HELD-BUT-UNREAD ROUTES (mining agent in flight): the on-disk `sources/periodicals/ia_arkgaz.json`, `ia_satpost.json`, `ia_supermerch.json`, `ca_01_waltons_five.json`, `gb_01_waltons_five_and_dime.json` have never been mined; the HathiTrust 573-record 1970s pool and the NLRB/FAA registers are identified but unread | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.101, U.202, U.207, U.208"
Walmart,stage1,"FY1962–FY1967: sales, stores, earnings, balance sheet, square footage, headcount — every variable","Empty in all nine reports, and not restatable from them: S0103's five-year table starts FY1970 and S0107's nine-year table starts FY1970",High,"FY1968 is the floor ($12,618,754, 24 stores, pro forma)",High (EMPTY within the nine-report perimeter),"the FY1970/FY1971 reports (proven absent from IA by `ia_q_92a4542e.json`, numFound 0, but that host is not the corpus): try Hoover's, WorldCat/LOC holdings, SEC Reference Room paper; and a non-company contemporaneous count (Chain Store Age directory 1963–1970) | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.102, U.210, U.213"
Walmart,stage1,"FY1968–FY1969 cost of sales, expense rows, balance sheet, shares, headcount, square footage",The FY1972 five-year table carries only sales / pre-tax / pro-forma income / EPS / stores,Medium-High,"§P rows P02–P07, P05, P07",High (EMPTY in perimeter),FY1969/FY1970 reports; county assessor and chain directories | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.102
Walmart,stage1,"The 1970 offering's terms as filed — gross price, proceeds line, underwriter, registration-statement text",The note gives the accounting effect only. $16.50 exists solely on an uncited company page; the derived net $15.15 has no licensed bridge to it,High,S0101 capital note; §P rows P43–P46,High (the note) / UNKNOWN (the price),"FETCH REQUEST: the 1970 registration statement — EDGAR full-text and the SEC Reference Room / National Archives (never queried by any pass of this project) | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.031, U.210"
Walmart,stage1,"Which legal persons did what, 1945–1970 — predecessor subsidiaries' names, dates, states; what Walton Enterprises, Inc. was; which of the fifteen stores entered the pool","The reports say ""the various subsidiaries"" and never enumerate them; the 1969 claim is year-only and uncited; ""Delaware"" occurs 0 times in all nine reports",High,S0101 Note 1 and Note 6 (separate returns ⇒ multiple persons); part 1 §B.0,High (that the record is silent); UNKNOWN (the entities),"LOCAL FIRST: `sources/probe_SEC_tickers.json` + the two EDGAR submission JSONs carry a `formerNames` field — an EDGAR former-name / state-of-incorporation search is the shortest remaining path and is in flight with the mining agent; then Arkansas SoS and Benton / Mississippi County records | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.013, U.014, U.108, U.203, U.211"
Walmart,stage1,"The 1945 and 1946 events themselves — franchise agreement, lease, deed, partnership instrument, firm name",Six dated company restatements (FY1973→FY1980) attest *the telling*; nothing attests *the told*,High,S0102–S0109; `timeline.csv` 1945 row (FOUNDER CLAIM/Low),Low,"Mississippi County, Arkansas records and Newport *Daily Sun* — note the fleet brief aimed at Nebraska was an artefact of an internal error (U.011); Chronicling America queries to date have searched ""waltons newport mo"", the wrong state | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.110, U.206, U.211"
Walmart,stage1,"The 1962 opening's observable facts — opening day, takings, prices, floor area, crowd, stock","No 1962 press item in hand names the firm; the flyer image has never been read; the ""6,000 sq ft / 45,000 items / $1,402"" folklore returns zero hits across the nine reports",High,"S0103 (first to date 1962, 1974-03-21); S0109 names J. L. Walton as co-operator","Low / UNTRACEABLE; the ""$1,402"" claim has no pre-1992 source anywhere in this corpus","read the catalogued 1962 ""First Walmart Advertisement"" image (the museum entry is on disk; A2 W-77 records the image path but says it has never been read); Arkansas/Missouri local print | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.001, U.110, U.033, U.214"
Walmart,stage1,"Total store square footage before FY1976; headcount for FY1973, FY1976, FY1978; any market price before FY1975; any comparable-store figure except FY1978","The reports print additions only, one employee chart is OCR-damaged, FY1978's figure was not found this pass, price tables begin in the FY1976 report, and only one same-store sentence exists",Medium,"§P rows P56–P59, P53, P38",High (EMPTY within the nine files),"page-image re-walk of the FY1976 employee chart and the FY1978 profile pages (`_text.pdf` leads are declared in each file's own metadata; `S0111`); Management's Analysis pages of FY1979/FY1980 | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.105, U.106, U.107, U.114, U.205, U.206, U.217"
Walmart,stage1,"FY1975's printed top line ($226,209 vs $236,209) and the FY1970 net-income cell and the FY1973 share count","All three are machine failures on the text layer, not company errors: the FY1975 own-column numerals dropped everywhere in that file; the FY1978 table's cell is internally inconsistent; the FY1973 count differs by 400 shares between two prints and one document prints both","Medium-High (each is a live conflict, none is immaterial to a register row)","§P rows P27, P10, P22; A3-023's inversion arithmetic",Medium-High / Medium / Medium,"one cheap fetch settles all three: the declared page-image PDFs (`_text.pdf`, 3,243,815 B / 3,706,555 B for FY1974-FY1975) — FETCH REQUEST, in flight | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.016, U.017, U.018, U.205, U.206"
Walmart,stage1,Whether the trade press's silence is informative,Only 7 of ~200 *Stores* monthly issues and 5 subject-only annual indexes have been read; the genre that would actually name a member store — an NRDGA/NRMA membership roster or chain directory — is absent from this corpus,High,"S0125–S0133; A4-18, A4-29, A4-40; §P rows P79",Medium,"a designed sample of ~10 roster-bearing issues (convention and membership numbers), not a sweep; plus the roster question itself | Drafted at s1_p3.md S.1 (register body for data_gaps.csv); section anchors: U.111, U.113, U.212"
