company,stage,gap,why_missing,importance,best_available_evidence,confidence,follow_up_task
Target,stage1,U.018 month and day of the first Target opening,"held company text says only early in 1962 and a month-with-1962 search over 781995 chars in eleven layers returned zero  MERGE[U.018 <- B1 gap: month and day of the first Target store opening]  MERGE[U.018 <- B1 why_missing: held company text says only early in 1962 and a month-with-1962 search returns zero over eleven held layers]  MERGE[U.018 <- B1 follow_up_task: U-4 Minneapolis Star Tribune and St Paul Pioneer Press 1962 back-files; U-2 obituary fetches]  MERGE[U.018 <- p1 gap: month and day of the first Target store, and its size, address and first-year trade]  MERGE[U.018 <- p1 follow_up_task: UNTRIED-4: Minneapolis Star Tribune and St Paul Pioneer Press 1961-08 to 1962-12, plus Duluth News Tribune; UNTRIED-1: the item's 1965 PDF leg for the chronology page]",High,S4201 essay sentence stating early in 1962 in Roseville ; S4201 L397-398,High,"U.033 Star Tribune and St Paul Pioneer Press 1961-08 to 1962-12 and the Sentinel microfilm at MNHS or the Minnesota State Archives  COLLISION 2026-09-26: one gap row kept for U.018; aliased emissions B1 line 316, p1 line 865."
Target,stage1,U.021 Target-unit revenue for 1962-1966 1968 and 1970-1972,"reports printed the group and the company and named Target dollars only for 1967  MERGE[U.021 <- B1 gap: Target-unit (not group) sales for 1962-1965, 1968 and 1970-1972]  MERGE[U.021 <- B1 why_missing: the reports printed the discount-and-hard-goods GROUP for those years and named Target dollars only for 1967]  MERGE[U.021 <- B1 follow_up_task: U-3 HathiTrust and Google Books for Dayton Corporation prospectus and divisional schedules; U-8 XBRL cannot reach this window]  MERGE[U.021 <- p1 follow_up_task: UNTRIED-1 re-OCR of the five-year table PDFs; UNTRIED-3 for a Dayton Corporation prospectus with divisional schedules]",High,"86901007 for 1967 (S4203) and the 44/100 percent rate pair (S4201) ; FY1967 prints Target sales at 86901007 (S4203) and FY1968 prints the group at 189515025 (S4204) ; S4203 1967 unit sales 86,901,007; S4206 group 189,515,025",Medium,"U.030 U.032 U.035  COLLISION 2026-09-26: one gap row kept for U.021; aliased emissions B1 line 315, p1 line 867."
Target,stage1,U.022 numeric columns of the Five Year Comparisons blocks in FY1969 FY1970 FY1971,"OCR dropped the figures leaving row labels  MERGE[U.022 <- B1 gap: numeric columns of the Five Year Comparisons tables in FY1969, FY1970 and FY1971]  MERGE[U.022 <- B1 why_missing: OCR dropped the figure columns leaving row labels only (FY1971 L2298-2307)]  MERGE[U.022 <- B1 follow_up_task: fetch the FY1971 or FY1973 PDF leg or a ProQuest copy of the report and re-OCR]",Medium,FY1973's equivalent row survives intact and foots in all five columns ; the FY1973 five-year row survives intact and supplies 1969-1972 (S4209 L3988 L3995),Medium,U.030 re-OCR the PDF legs or obtain a ProQuest copy  COLLISION 2026-09-26: one gap row kept for U.022; aliased emissions B1 line 318.
Target,stage1,U.024 no document before FY1965 exists in the held item,"archive catalogue floor  MERGE[U.024 <- B1 gap: any document before FY1965 (the 1902-1961 pre-history)]  MERGE[U.024 <- B1 why_missing: the item OCR run starts at FY1965 (probe N3 proven from held item metadata) and no family returned an earlier document]  MERGE[U.024 <- B1 confidence: Low]  MERGE[U.024 <- B1 follow_up_task: U-3 HathiTrust for Dayton Company reports FY1955-FY1964; U-1 auction and museum ephemera]  MERGE[U.024 <- p1 gap: any document naming the company before FY1965, and every date in the 1902-1961 pre-history]  MERGE[U.024 <- p1 why_missing: the digitised run starts at FY1965 (catalog-proven S4216) and no family reached an earlier document]  MERGE[U.024 <- p1 follow_up_task: UNTRIED-3: HathiTrust and Google Books for Dayton Company reports FY1955-FY1964 and Target Stores Inc. 1962-66; needs a target task set in tools/queries.json plus --use-curl. THE route to T1]",High,item metadata listing 61 layers running 1965 to 2024 ; only the FY1999 retrospective genealogy spread (S4212) which is company self-account ; the FY1965 report's own ancestry sentence (S4201 L110-115) and the FY1999 spread - both company self-account,High,"U.032 HathiTrust for Dayton Company reports FY1955-FY1964 and U.034 an independently digitised carrier  COLLISION 2026-09-26: one gap row kept for U.024; aliased emissions B1 line 319, p1 line 864."
Target,stage1,U.025 whether any predecessor entity ever registered with the SEC,EDGAR name-to-CIK returned HTTP 503 on all four terms  MERGE[U.025 <- p1 gap: whether a predecessor registrant ever filed (Dayton Company / Dayton Dry Goods / J. L. Hudson)]  MERGE[U.025 <- p1 why_missing: the EDGAR name-to-CIK route returned HTTP 503 on all four terms and the bodies are held as negative artifacts (S4218 + S4219 + S4220)]  MERGE[U.025 <- p1 importance: Medium]  MERGE[U.025 <- p1 follow_up_task: UNTRIED-7: name-to-CIK on a working route then sec_intake index --cik n --from 1930-01-01 --to 1985-12-31],High,"one-entry formerNames array for CIK 27419 only ; EDGAR formerNames with exactly one entry, plus a complete-as-indexed 2,628-row history with no unanswered slices",UNKNOWN,U.036 retry browse-edgar for dayton dry goods j.l. hudson dayton company dey brothers then sec_intake index on any CIK returned  COLLISION 2026-09-26: one gap row kept for U.025; aliased emissions p1 line 868.
Target,stage1,U.026 the company's own digital history pages in the web archive,"Wayback CDX returned HTTP 503 twice  MERGE[U.026 <- p1 gap: the 1999-2000 readoption leg and the company's own digital history page]  MERGE[U.026 <- p1 why_missing: Wayback CDX returned 503 twice and the bodies are held; the print legs cover the same event better]  MERGE[U.026 <- p1 importance: Medium (PB material only)]  MERGE[U.026 <- p1 follow_up_task: UNTRIED-9: Wayback retry once Internet Archive answers 200, plus the readoption press release]",Medium,FY1999 and FY2000 print layers cover the same event ; FY1998 layer naming www.dhc.com; FY1999 layer We are Target Corporation; EDGAR formerNames end date 1999-04-12,Medium,U.037 retry CDX once Internet Archive answers 200 and fetch snapshots with sidecars  COLLISION 2026-09-26: one gap row kept for U.026; aliased emissions p1 line 870.
Target,stage1,U.028 transport unverified on five layers (FY1966 FY1967 FY1971 FY1973 FY1974),"verified TLS failed with CERTIFICATE_VERIFY_FAILED certificate has expired so --insecure was used  MERGE[U.028 <- B1 gap: verified-TLS status of five layers (FY1966 FY1967 FY1971 FY1973 FY1974)]  MERGE[U.028 <- B1 follow_up_task: re-fetch the same five URLs after repairing the local CA store and re-stamp; until then every claim resting only on them stays Medium]  MERGE[U.028 <- p1 gap: verified-TLS status of five layers (FY1966 FY1967 FY1971 FY1973 FY1974) and therefore the confidence ceiling on every row resting only on them]  MERGE[U.028 <- p1 why_missing: verified TLS failed with CERTIFICATE_VERIFY_FAILED on an expired local CA bundle; the fetch used --insecure]  MERGE[U.028 <- p1 follow_up_task: UNTRIED-8: repair the CA store, re-fetch the same five URLs, re-stamp; this is a script run, not research]",Medium,all five sidecars stamp transport UNVERIFIED TLS,High,"U.037 repair or update the local CA store then re-fetch the same five URLs and re-stamp the sidecars  COLLISION 2026-09-26: one gap row kept for U.028; aliased emissions B1 line 321, p1 line 869."
Target,stage1,U.031 no held independent primary for the founder conflict,"both carriers are web leads  MERGE[U.031 <- B1 gap: held independent primary for U.001]  MERGE[U.031 <- B1 why_missing: both founder-credit carriers are web leads not bytes]  MERGE[U.031 <- p1 gap: a held independent carrier for either founder attribution (U.001)]  MERGE[U.031 <- p1 why_missing: both carriers are web leads; no obituary text or interview transcript is on disk]  MERGE[U.031 <- p1 follow_up_task: UNTRIED-2: fetch the 2013-07-06 Twin Cities obituary and a Geisse obituary into sources/documentary/ with sidecars via the harvest script, not an agent]",High,"officer pages S4201 S4202 S4203 which establish roles only ; officer pages S4201 L1455-1456 and S4203 L1950-1956 which establish roles only ; officer pages only: S4201 L1452-1459 and S4203 L1950-1956, which establish ROLES",High,"FETCH REQUEST to the orchestrator: 2013-07-06 Twin Cities or Pioneer Press Douglas Dayton obituary and a 1992-02 Geisse obituary into sources/documentary/ with sidecars  COLLISION 2026-09-26: one gap row kept for U.031; aliased emissions B1 line 320, p1 line 866."
Target,stage1,store openings in 1963 and 1964,no held layer enumerates a 1963 or 1964 Target opening,Medium,absence in two lists of one lineage (S4201 chronology and S4210 roster),Medium,re-read the 1965 chronology against the item 1965 PDF image leg; U-3 for 1963-64 print
Target,stage1,"what the 1962-65 stores cost, the land sale price inside the 1967 leaseback, and who the merchandise vendors were","site TENURE is now partially established from the notes pages (buildings mortgaged, land leased back); cost, price and vendor terms are not printed legibly anywhere in the run  COR-04 the volume-1 claim that site TENURE was UNKNOWN is RETRACTED: the FY1966 notes print a land sale-and-leaseback, so tenure is partially established.",Medium,"S4201 L421-423 (11 percent leased, Applebaum's), S4201 L1170 and L1232-1236 (3,200,000 payable to the parent; 7,500,000 first mortgage), S4202 L355 and L804-809 (2,200,000 mortgage and 225,000 annual rentals)",Medium,"UNTRIED-1: re-OCR the FY1965-FY1967 notes, lease and mortgage schedules from the item's own PDFs before any external fetch"
