company,stage,conflict_id,section,claim_a,claim_a_source,claim_a_date,claim_b,claim_b_source,claim_b_date,why_they_differ,evidence_weight,best_supported_interpretation,residual_uncertainty,confidence
Target,stage1,U.001,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K1 / K1 renumbered to U.001, reasoning unchanged] U.001 section the section-U live-conflict block and section B  MERGE[U.001 <- K1 why_they_differ: company print names both as officers of Target Stores, Inc. from FY1965 and credits neither with the decision]  MERGE[U.001 <- K1 evidence_weight: held bytes settle ROLES only: Dayton President and Geisse Vice President in FY1965 and Geisse Senior Vice President and General Merchandise Manager by FY1967; GEISSE appears zero times from FY1968 on]  MERGE[U.001 <- K1 best_supported_interpretation: both founder narratives rest on unheld Tier-2/Tier-4 carriers so neither is settled and no averaging is applied]  MERGE[U.001 <- K1 residual_uncertainty: neither independent obituary text is held so the conflict cannot be adjudicated even at Tier 2 from this corpus]", Douglas Dayton is the founder of Target Stores, Twin Cities / Pioneer Press obituary (NOT HELD),2013-07-06,John F. Geisse originated and headed the Target concept,Geisse biography pages (NOT HELD),UNKNOWN,company print names both as officers from FY1965 and credits neither with the decision,held bytes settle ROLES only and GEISSE disappears from the officer pages after FY1967 while Dayton remains,no founder is settled and no averaging is applied,neither independent carrier exists as bytes so the conflict is unadjudicable from this corpus,Low
Target,stage1,U.002,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K2 / K2 renumbered to U.002, reasoning unchanged] U.002 section the section-U live-conflict block and section D  MERGE[U.002 <- K2 claim_a_source: The Dayton Company Annual Report 1965 L397-398]  MERGE[U.002 <- K2 why_they_differ: side A is a held primary and side B has no held document at all]  MERGE[U.002 <- K2 evidence_weight: one held layer states the year and the place and refuses the month; a month-with-1962 search returns zero over all eleven layers (N7)]  MERGE[U.002 <- K2 best_supported_interpretation: keep 1962 with place Roseville and month and day UNKNOWN until a document exists]",The first Target store opened early in 1962 in Roseville,The Dayton Company Annual Report 1965,1962,The first Target store opened 1962-07-01,commonly repeated secondary accounts with NO carrier held,UNKNOWN,side A is a held primary that refuses the month; side B is precision the held record never produces,a month-with-1962 search returns zero over 781995 chars in eleven layers,keep 1962 Roseville with month and day UNKNOWN,whether any 07-01 carrier was ever printed is UNKNOWN,High that it is unresolved
Target,stage1,U.003,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K3 / K3 renumbered to U.003, reasoning unchanged] U.003 and U.006 section the section-U live-conflict block  MERGE[U.003 <- K3 section: entity-lineage key]  MERGE[U.003 <- K3 claim_a: the 1965 file is a Dayton Hudson Corporation report (uploader file name 1965 - Dayton Hudson Corp (DH))]  MERGE[U.003 <- K3 why_they_differ: the uploader label is applied to every year 1965-1998 regardless of the entity inside the document]  MERGE[U.003 <- K3 evidence_weight: text outranks filename and a register built on the file names would misdate the 1969 merger by four years]  MERGE[U.003 <- K3 residual_uncertainty: none material - the fix is procedural and is applied throughout this file]",the 1965 file is a Dayton Hudson Corp report (uploader filename),item 01-target-archive file labels,UNKNOWN,the 1965 masthead in bytes reads THE DAYTON COMPANY ANNUAL REPORT 1965,held layer opening lines,1965,the uploader label is applied to every year 1965-1998 regardless of the entity inside,text outranks filename; a register built on filenames would misdate the 1969 merger by four years,attribute every figure to the masthead that printed it,none material - procedural and applied throughout,High
Target,stage1,U.004,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K4 renumbered to U.004, reasoning unchanged] U.004 section the section-U live-conflict block",the 1962 launch is documented,The Dayton Company Annual Report 1965,1962, the 1962 launch is documented by one carrier three years after the fact,archive catalogue metadata (S4216) and the FY1965 run floor,2026-09-26,the item's text layers begin at FY1965 so no earlier provenance is held,fact and single-source fact look identical in a one-carrier corpus,keep the act at FACT and everything inside it at Medium; keep founder pre-history at UNKNOWN rather than deleting it,whether any 1962-64 document survives anywhere is untested,High
Target,stage1,U.005,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K5 renumbered to U.005, reasoning unchanged] U.005 section the section-U live-conflict block",Dey Brothers is a predecessor name,dispatch premise and an EDGAR search term,UNKNOWN,Dey returns zero hits across all eleven founding-era layers,held layers,1965-1975,the premise circulates in company histories while the EDGAR zeros come from a post-2001 index,the print null is real; the EDGAR zero is a floor and cannot answer,unestablished not disproved; any later stage inheriting it must retraction-test under rule 8,a control query with no date restriction was never run,High that it is unestablished
Target,stage1,U.007,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K4b renumbered to U.007, reasoning unchanged] U.007 section the section-U live-conflict block (PB)",EDGAR ends DAYTON HUDSON CORP on 1999-04-12,raw submissions JSON,1999-04-12,The name changed in 2000,dispatch premise,2000,a parent-level filing date versus a division-level readoption versus a report-year label,EDGAR is authoritative for the parent act; no held document states the 2000 leg,1999 parent change is documented and the 2000 leg stays a conflict,which act each source dates,High for 1999 and Low for 2000
Target,stage1,U.008,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K6 / K6 renumbered to U.008, reasoning unchanged] U.008 section the section-U live-conflict block (PB)  MERGE[U.008 <- K6 claim_a: Target had 30 stores at year-end 1971 after six openings in 1971]  MERGE[U.008 <- K6 claim_a_source: Dayton Hudson Annual Report 1971 L816 L831]  MERGE[U.008 <- K6 claim_b: the FY1974 roster enumerates five Target stores with stated opening year 1971 i.e. 29 cumulative]  MERGE[U.008 <- K6 claim_b_source: Dayton Hudson Annual Report 1974 L4636-4670]  MERGE[U.008 <- K6 why_they_differ: the roster lists only units still operating in 1974 so a closed or renamed unit vanishes from it and one row may also be OCR loss]  MERGE[U.008 <- K6 evidence_weight: both are company print of one lineage so neither corroborates the other; CONTEMPORANEOUS outranks RESTATED as to priority but not as to arithmetic]  MERGE[U.008 <- K6 best_supported_interpretation: report both: 30 as printed for 1971 and 29 as roster-countable with a one-unit difference whose mechanism is UNKNOWN]  MERGE[U.008 <- K6 residual_uncertainty: which store is missing and which document is at fault is UNKNOWN]",Target had 30 stores at year-end 1971,Dayton Hudson Annual Report 1971,1971,the FY1974 roster enumerates 29 cumulative,Dayton Hudson Annual Report 1974,1974,the roster lists only units still operating in 1974 and a row may be OCR loss,both are one lineage so neither corroborates the other; CONTEMPORANEOUS outranks RESTATED as priority only,report both with a one-unit difference of UNKNOWN mechanism,which store and which document is at fault,Medium
Target,stage1,U.009,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K7 / K7 renumbered to U.009, reasoning unchanged] U.009 section the section-U live-conflict block (PB)  MERGE[U.009 <- K7 section: B1 roster leg]  MERGE[U.009 <- K7 claim_a_source: Dayton Hudson Annual Report 1973 L4295]  MERGE[U.009 <- K7 claim_b_source: Dayton Hudson Annual Report 1974 L4634]  MERGE[U.009 <- K7 why_they_differ: OCR corruption of a small parenthetical inside a dense two-column roster]  MERGE[U.009 <- K7 evidence_weight: two consecutive reports disagree and neither is legible enough to carry a date]  MERGE[U.009 <- K7 best_supported_interpretation: UNKNOWN; explicitly not used to move the 1962 opening either way]  MERGE[U.009 <- K7 residual_uncertainty: only the original PDF page could settle it (17 Image Container PDFs for 1965-74 exist in the same item)]",The Target unit carries parenthetical year 1961,Dayton Hudson Annual Report 1973,1973,the same unit carries 1967,Dayton Hudson Annual Report 1974,1974,OCR corruption of a small parenthetical in a dense two-column list,neither is legible enough to carry a date claim,UNKNOWN and explicitly not used to move 1962,only the original page settles it,Low
Target,stage1,U.011,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K8 / P1K10 renumbered to U.011, reasoning unchanged] U.011 section the section-U live-conflict block (NEW - re-bases the series)  MERGE[U.011 <- P1K10 section: Boundary 4; every row of B1's quantitative block carrying a bare year]  MERGE[U.011 <- P1K10 claim_a: fiscal year equals calendar year in these reports]  MERGE[U.011 <- P1K10 claim_a_source: research/B1_dayton_print_records.md, Store and sales series preamble]  MERGE[U.011 <- P1K10 claim_a_date: 2026-09-26]  MERGE[U.011 <- P1K10 claim_b: the reports print late-January or early-February year-ends and one layer prints the key itself: year ended February 1 1969 is fiscal year 1968]  MERGE[U.011 <- P1K10 claim_b_source: held layers FY1965 L169-173, FY1967 L1197, FY1969 L1451, FY1970 L1743, FY1974 L3220]  MERGE[U.011 <- P1K10 claim_b_date: 1965-1974]  MERGE[U.011 <- P1K10 why_they_differ: a dossier statement inherited the label 1965 as if it were a 31-December observation; the documents date the year-end]  MERGE[U.011 <- P1K10 evidence_weight: the held bytes win outright - five printed year-end dates across four layers, verified TLS on three of them]  MERGE[U.011 <- P1K10 best_supported_interpretation: a report labelled N is a 52/53-week retail year ending in late January or early February of N+1; year-end store counts are January counts, and the FY1974 to FY1975 leg changes basis]  MERGE[U.011 <- P1K10 residual_uncertainty: whether any B1 row silently compares a January-1966 count to a December-1965 market figure is unresolved until the merge re-keys each date field]  COR-01 (the refuted 'fiscal = calendar' year-basis claim; re-bases B1's Q20 and every bare-year date cell in the quantitative register).",The layer is the 1965 annual report,cover label and narrative prose,1965,the statements inside it are for the fiscal year ended January 29 1966 and the notes call that column 1966,held statement headers and notes,1966,the entity names a fiscal year by its starting calendar year in prose and by its ending year in the notes,documentary: both labels sit inside audited statements; the pattern repeats under the 1966 cover (period ended 1967-01-28),every row carries the fiscal PERIOD END as its date and B1's Q20 labels are corrected at merge as a superseding note,whether FY1968 onward follows the same pattern was not tested by this pass,High
Target,stage1,U.010,"[collision note 2026-09-26: one row kept for this conflict; pre-merge local keys K9 / K9 renumbered to U.010, reasoning unchanged] U.010 section the section-U live-conflict block (PB)  MERGE[U.010 <- K9 section: Q13 Q20]  MERGE[U.010 <- K9 claim_a: Department Stores revenue for 1968 was 223276791 USD as printed by Dayton Corporation]  MERGE[U.010 <- K9 claim_a_source: The Dayton Corporation Annual Report 1968 L1359]  MERGE[U.010 <- K9 claim_b_source: Dayton Hudson Annual Report 1969 L1004]  MERGE[U.010 <- K9 evidence_weight: RESTATED is never corroboration of CONTEMPORANEOUS; each set foots to its own scope (each restated 1968 set sums to 811981)]  MERGE[U.010 <- K9 best_supported_interpretation: print both each labelled with the entity whose report printed it]  MERGE[U.010 <- K9 residual_uncertainty: which consolidation date inside 1969 produced the wider column is not established by these layers]",1968 department-store revenue was 223276791 USD,Dayton Corporation annual report,1968,the 1968 department-store column is 582923 USD thousands,Dayton Hudson annual report,1969,the later column is the merged scope including The J L Hudson Company of Detroit,RESTATED is never corroboration of CONTEMPORANEOUS and each set foots to its own scope,print both each labelled by its filer,which 1969 consolidation date produced the wider column is not established,High
