company,stage,channel,date_tested,why_tested,cost_or_effort,result,repeatability,source_id,confidence,notes
Amazon.com,stage1,Netscape 'What's New' editorial directory listing,1995 (start date UNKNOWN; claimed in the 1995-10-04 release),Discovery in a directory era: a site without a listing was effectively unfindable,Free editorial nomination; submission effort and criteria UNKNOWN,"COMPANY SELF-REPORT ONLY: the release states Amazon was included and that this was 'effectively trumpeting its arrival to any user who clicks the button to see the list'. No dated third-party listing for amazon.com survives, and no order attribution exists","UNKNOWN: directory inclusion depended on editorial discretion, not on a purchasable process",S1701,Medium-High that claimed / UNKNOWN effect,"Do NOT label this viral or organic: it is earned editorial placement asserted by the company about itself. The NCSA Mosaic August-1995 'What's New' archive (3,084 entries) is in-window but contains the river, not the company."
Amazon.com,stage1,Yahoo 'What's Cool' editorial directory listing,1995 (start date UNKNOWN; claimed in the 1995-10-04 release),Same: the dominant consumer route to new sites in 1995,Free editorial nomination; effort UNKNOWN,"COMPANY SELF-REPORT ONLY, same single sentence as the Netscape claim; no independent listing dated inside the window survives",UNKNOWN,S1701,Medium-High that claimed / UNKNOWN effect,Filed as a risk too: gatekeepers 'could promote the Company's competitors or charge the Company a substantial fee for inclusion' - the channel's economics were outside the company's control.
Amazon.com,stage1,Own press release distributed by wire,1995-10-04 (indexed 1995-10-03),To state the offer publicly about three months after trading began; no other dated 1995 first-party statement exists,"Company-authored release; cost UNKNOWN (PR effort, no paid media)",Reproduced by at least one wire reprint (URLwire item 100495) and echoed in period features by November 1995; conversion UNKNOWN,"Partly: the company issued releases on a cadence thereafter, but the 1995-10-04 text survives only as a summarised extract (restoration pending)",S1701,High that issued / Medium that distributed / UNKNOWN effect,"This one document is the ancestor of the titles, discount, shipping, geography, channel-listing, phone-number, review and Bezos-quotation claims: nine claims, ONE source."
Amazon.com,stage1,Earned newspaper and syndicated coverage,1995-10-22 (Tallahassee Democrat search test); 1995-11 (Knight Ridder feature),Not chosen by the company: third parties described the live store,No payment evidenced; UNKNOWN,"Two dated outside descriptions of the store exist, one of them syndicated nationally, and both mention ordering by Web, toll-free phone or fax",UNKNOWN: earned coverage cannot be scheduled; neither item reports an order,S0612,"Medium (existence) / Low (wording, chain incomplete)",Both reach us via a 2019 aggregator reprint; the print originals are not held (RD-011). A High-confidence validation signal cannot rest on a reprint.
Amazon.com,stage1,Free 'Eyes & Editors' e-mail notification subscription,advertised live by 1995-10-04,"A stated repeat-visit mechanism: register interests in authors, subjects or titles and be told when they arrive",Free to the customer; the company's cost of running it UNKNOWN (e-mail labour was manual),"Exists as an advertised product feature; subscriber count, open rate and any visit effect for 1995 are UNKNOWN",Plausible but unmeasured: the feature recurred into 1996-97,S1701,High (that it was offered) / UNKNOWN (effect),The only in-window retention mechanism with a date. Its 1995 mechanism of operation is UNKNOWN.
Amazon.com,stage1,Solicited on-site reader contributions (customer reviews),"1995-10-04 ('share their thoughts ... exchange ideas'), with user postings quoted in the release","To turn a thin, technical audience into content that improved the catalogue for others",Manual moderation implied; cost UNKNOWN,"The company quoted real user postings in its own release, including a warning about overspending; volume UNKNOWN. The origin of the first reviews ('employees and friends wrote them') is a 2025-sourced claim",UNKNOWN,S1701,Medium (existence) / Low (form and volume),"Do not describe this as a UGC flywheel: no 1995 volume, cadence or effect is measured anywhere."
Amazon.com,stage1,Personal network and invited beta list,"~1995-05 (six-week closed beta, per retrospective accounts); claimed first outside order 1995-04-03",Prove the order-to-card path before the public site existed,Founder and employee time; ~300 invited users,The one documented converted buyer of the period exists because an employee e-mailed a friend to create an account and order books; every element of that account is 2012-2015 retrospective,One-time by nature: a personal network cannot be re-tested at scale,S0203,Low-Medium (all elements retrospective),FOUNDER CLAIM / retrospective telling (Sheff 1999/2000; Kaphan 2011; MarketWatch 2015). Tension with the audited 'no sales through July 1995' is unresolved (U.1).
Amazon.com,stage1,Published telephone number and toll-free ordering line,1995-10-04 (the number is published in the release); the toll-free line is the S-1's own disclosure (S-1 (orig.) l.2179-2180); offline ordering attested by 1995-11,To take orders from buyers unwilling to type a card number on the Web,Telephony and manual order entry; cost UNKNOWN,"The toll-free line was maintained specifically for customers refusing online card entry, and card details could be given by e-mail or telephone; orders by fax are attested only by the Nov-1995 press; share of orders taken this way UNKNOWN",Structurally repeatable but never quantified,S0801,"High (existence, filing) / Medium (fax, press) / UNKNOWN (share)","A trust device, not an acquisition channel: it converted demand that had already arrived. COR-13 attribution: the 1995-10-04 release (S1701) supplies the published number and online ordering ONLY — it names no toll-free line, no mailbox count, no fax and no e-mail ordering, so it is NOT the source of this row's substance; nine addresses at S-1 (orig.) l.2174. The Nov-1995 fax detail rests on Knight Ridder (S0612) and the incomplete reprint chain (RD-011)."
Amazon.com,stage1,Chat groups and community discussion,1995 (undated; described in January-1997 reporting),The available route to a dispersed technical audience before search was mature,Participant time; UNKNOWN,Positive customer reviews circulating in chat groups were reported to have driven some visitors; no measurement of any kind,UNKNOWN,S0605,Low-Medium,"Reported retrospectively by a newspaper in 1997, not measured in 1995. Word of mouth was never measured in Stage 1 at all."
Amazon.com,stage1,Search engines surfacing the site,pre-1997 (claim); no in-window test recovered,Discovery as the Web outgrew directories,UNKNOWN,"NOT EVIDENCED for 1995: two unnamed 'key search engines' surfaced Amazon 'early on' per 1997 reporting, and a claim that 1995 traffic came from search engines failed tracing",UNKNOWN,S0605,Low (for Stage 1),"Recorded as an unsupported channel so it is not quietly credited to Stage 1 (G-33). The 1995 offer itself was search-led, which is a product feature, not an acquisition channel."
Amazon.com,stage1,Physical gifts sent to the customer base,undated: 'in the past sent' per the March-1997 filing,"Retention, as the company describes it","Cost, date, volume and result all UNKNOWN",No evidence that this channel operated inside Stage 1; the disclosure is a 1997 statement in undated past tense,UNKNOWN,S0801,Low,"Kept in the register as an un-dated claim, not as a Stage-1 experiment (D-72). No 1995 gift cost or order effect exists."
