company,stage,date,signal_or_failure,magnitude,what_it_demonstrated,what_it_did_not_demonstrate,source_id,evidence_class,confidence,notes
Amazon.com,stage1,1994-07-05 to 1994-12-31,"$0 net sales across the whole 179-day 1994 stub while $52,000 of operating expense was incurred","0 USD of net sales; 52,000 USD of expense",That the first reported period was pure spend: no revenue line at all (filed as '--'),"That the spend bought validation: equity ended the stub at $8,000 and working capital at $(16,000)",S0803,FACT (audited),High,"Nominal 1994 dollars; audited and filed in 1997, so a retrospective filing on an in-window state."
Amazon.com,stage1,1994-07-05 to 1995-07,"About twelve months elapsed with no recorded revenue: 'for the period from inception through July 1995, the Company had no sales'",0 USD for ~12 months,That the company carried a full year of pre-revenue burn,"That timing was immaterial: it contradicts the founding rhetoric 'when it's growing 2,300% a year, weeks are important', a figure absent from the filings",S0801,FACT (audited),High,U.1: 'through July 1995' can read as up to the start of July or through the end of July; on the second reading July 1995 itself recognised no sales.
Amazon.com,stage1,1995-12-31,FY1995 operating loss,"(304,000) USD",Losses were the whole Stage-1 record: the first full trading year lost money at the operating line,"Causal size: quarterly data begins Q1-1996, so no in-year loss curve exists",S0801,FACT (audited),High,"Net loss $(303,000); loss per $1 of net sales $(0.595), DERIVED 304/511."
Amazon.com,stage1,1995-12-31,Marketing and sales spend exceeded gross profit,"marketing 200,000 USD vs gross profit 102,000 USD","That growth in 1995 cost more than it earned, on the company's own audited lines",That this was wasteful: no channel-level cost or attribution data exists,S0803,FACT (audited),High,"Advertising inside that line was only $30,000, so paid acquisition was near-absent: the spend is people, catalogue and effort."
Amazon.com,stage1,1995-12-31,On the audited ratios no order size was profitable: ~19.96% gross margin against marketing at 39.1% of net sales,(0.19) USD contribution per revenue dollar,"That the Stage-1 cost structure was arithmetically loss-making per dollar sold, without any hindsight","Per-order loss: order counts and average order value were never disclosed, so the loss cannot be attributed to basket size",S0803,DERIVED,High (arithmetic) / UNKNOWN (per-order),"Arithmetic: 0.1996 - 0.3914 = (0.1918). Margin would have needed ~79% at these ratios. Class ESTIMATE for the 79% figure, which is why it is stated as a bound and not a target."
Amazon.com,stage1,1995-03-31,"Cumulative losses reached $107,000, ending the Subchapter S election","107,000 USD reclassified to common",That the accumulated deficit consumed the company's tax status before it had sold anything,That this was a planned milestone: the filing states no reason,S0803,FACT (audited),High,"Note 1 Income Taxes. THE CUMULATIVE-DEFICIT CLAIM IN THIS CELL WAS WRONG AND IS CORRECTED per AUDIT 3 (HIGH): the audited accumulated deficit at 1995-12-31 is $248,000, filed at S-1 (orig.) l.3461 and repeated as the closing balance of the statement of stockholders' equity at l.3571 - not the $355,000 this row asserted. WHY THE TWO DIFFER: the two loss years do sum to 355 (52 + 303, orig. l.3540 and l.3567), but $107,000 of that was RECLASSIFIED TO COMMON STOCK when the Subchapter S election ended (equity statement l.3555; Note 1 l.3713-3716), so 52 + 303 - 107 = 248 = the filed deficit. $248,000 is NOT the cash the company burned either: pre-April-1995 losses passed through to the founder's personal return. The failure signal is unaffected in kind and only mildly reduced in magnitude: eleven people ended the first trading year owing $248,000 of cumulative losses, after consuming $284,000 of cash."
Amazon.com,stage1,1995-10-04,"Only a fraction of the advertised catalogue was sourceable: up to 400,000 distributor-supplied titles against >1,000,000 advertised in-window","gap of at least ~600,000 titles","That supply, not demand, capped the core claim from month one","A 1995 measurement: the 400,000 and 350,000 ceilings are 1997 disclosures, and the 2.5 million figure must never be back-dated into Stage 1",S0801,FACT (1997 disclosure) + INFERENCE (applied to the 1995 offer),Medium,U.3; COR-04. Kaphan's gloss converts the claim into a listing: 'we did have a million titles. We didn't have a million books'.
Amazon.com,stage1,1995-12-31,"Unfilled demand was disclosed: four to six weeks for the in-print remainder, two to six months out of print, and 'some titles may not be available at all'",4-6 weeks; 2-6 months,"That the availability promise ('If it's in print, it's in stock') had a disclosed hole","How big the hole was in 1995: no fill rate, back-order rate or unfillable-order rate was ever quantified",S0803,FACT (audited disclosure),High (that it is disclosed),The timing bands appear in a 1997 filing describing 1996-97 operations; no 1995 timing measurement exists.
Amazon.com,stage1,1994-11,Card acceptance was obtainable only on the founder's personal guarantee,"3 guarantees dated Nov-1994, Apr-1995, Jul-1995",That a two-person firm with $0 borrowings could only get payment rails by pledging personal credit,"Scale: guarantee amounts, caps, scope and merchant rate are all UNKNOWN",S0803,FACT,High,"U.18. The Seafirst guarantee ran about eight months before the company could sell anything, standing in for a balance sheet with $83,000 of payables growth."
Amazon.com,stage1,1995-12-31,"No supplier protection: 'no long-term contracts or arrangements with any of its vendors' guaranteeing availability, payment terms or credit limits",0 contracts,"That the entire supply leg ran on unguaranteed per-order terms - disclosed fragility, not hindsight","That it failed in Stage 1: nothing in the record shows a Stage-1 supply breakdown, and the 1995 distributor share is undisclosed",S0803,FACT (audited disclosure),High,Present-tense wording across the audited period reaches 1995 as the company's own account; no distribution or publisher agreement is filed as an exhibit.
Amazon.com,stage1,1995-12-31,The supplier armed competitors: Ingram disclosed as helping others 'establish and operate online sites for booksellers',1 disclosed dual role,That the sole scaling mechanism was also available to rivals,Any 1995 quantification: the 59% Ingram share of purchases is a FY1996 basis and the 1995 share is UNKNOWN,S0803,FACT (audited disclosure),High,Rule 1: 59% is barred from Stage-1 metrics; recorded here as the disclosed structural weakness only.
Amazon.com,stage1,1995-12-31,"Sales tax collected only in Washington, with no reserve or quantified contingency",1 of 50 states collecting,That the price advantage partly rested on an unsettled legal posture,"That the exposure was zero: the notes' only contingency is the 1997 B&N suit, and other states 'may seek to impose' collection obligations",S0803,FACT (audited disclosure),High,"Absence of a reserve evidences posture, not absence of exposure. *Quill* (1992) is background law with no evidenced Stage-1 nexus."
Amazon.com,stage1,1995-12-31,"Single-site infrastructure: all hardware at one Seattle-area site, periodic interruptions, no redundant systems, no formal disaster-recovery plan, insufficient business-interruption insurance",1 site; 0 redundancy,That the whole trading capability of the company could fail at once,"That 1995 specifically looked like this: the disclosure is a 1997 filing describing 1995-96, so the 1995 application is an INFERENCE",S0803,FACT (1997 disclosure) / INFERENCE (1995 state),High (text) / Medium (application),Consistent with $0 leasehold improvements at year end.
Amazon.com,stage1,1995-12-31,"Accounting was not integrated with the transaction system, requiring 'a significant amount of manual effort'","2 disclosed systems, 0 interfaces",That the back office was human: the automation surface was narrow,"That the numbers are wrong: both separately-accessioned filings repeat this disclosure, and under method §3's filing-lineage rule that repetition is ONE instrument restated and corroborates nothing — what the doubling proved was the disclosure's presence in both drafts, not an independent second source (the cell formerly read 'which is why it counts as corroborated'; struck 2026-09-24 on AUDIT 6 item 9 / AUDIT 5 A-B1)",S0803,FACT,High,"Disclosed in T01 AND T02 — two accessions of ONE registration statement (S0801 and S0803, both carrying SEC File No. 333-23795), so **independence is NOT genuine here** and this cell's former wording, 'so independence is genuine here (unlike most S-1 echoes)', is RETRACTED as the exact error A-B1 was raised against. The disclosure stands on one primary document, which is enough for FACT/High under §3; nothing else in the row changes."
