source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
S0001,1,Retrospective founding recollections; 'everything store' conversation as a 1999 telling; the existence of a Bezos-originated founding narrative in the press by 1999,"Riding the Wild, Perilous Waters of Amazon.com","Peter de Jonge, The New York Times Magazine",Magazine feature,Secondary,1994-1995,1999-03-14,2026-09-23,https://archive.nytimes.com/www.nytimes.com/library/tech/99/03/biztech/articles/14amazon.html,UNKNOWN,2,RETROSPECTIVE INTERPRETATION (contemporaneous to 1999 only),Medium,"Independent of the company but five years downstream of Stage 1; part of the same Bezos-interview cycle that produced S0203 and S0210, so it corroborates the telling, not the event",UNKNOWN,"restoration pending - no local copy in sources/ of the New York Times Magazine archive page (archive.nytimes.com/www.nytimes.com/library/tech/99/03/biztech/articles/14amazon.html). The 2026-09-23 restoration scope was the four SEC accessions, the Sheff interview, HistoryLink 23230, the NCSA Mosaic page and the Wayback null; this page was never in it. Original note text retained verbatim: Used by dossiers A and K"
S0002,1,Soft launch a couple of months before the July 1995 hard launch; C built on Oracle with basic NCSA libraries; catalog assembled from non-authoritative sources; Bezos researched internet business plans inside D. E. Shaw; Bellevue house 'an office in a house'; Relentless/Cadabra naming sequence; Paul Davis hired about a month after Kaphan,"Meet Shel Kaphan, Amazon.com Employee #1 (parts 1-4)","John Cook, GeekWire",Participant interview (retrospective),"Primary testimony, retrospective",1994-99,2011-06-14,2026-09-23,https://www.geekwire.com/2011/meet-shel-kaphan-amazoncom-employee-1/,UNKNOWN,1 (as a record of testimony) / 3 (as journalism),CONTEMPORARY OBSERVATION for 1994-99 as recounted; RETROSPECTIVE INTERPRETATION as to sequence,Medium-High,"Participant source INDEPENDENT of Bezos and the single most load-bearing non-filing witness for the 1994-95 build; sole source for soft-launch timing and the naming sequence, restated downstream by S0004 (derivative of this document)",We were actually on the air by July of 1995 - and that was the hard launch. The soft launch had been a couple months earlier than that.,"restoration pending - no local copy in sources/ of the GeekWire Kaphan series (geekwire.com/2011/meet-shel-kaphan-amazoncom-employee-1); outside the restoration scope, so the quotations stand as dossier transcriptions. Original note text retained verbatim: Single witness; Kaphan reportedly retains Bezos's projection spreadsheets - a private artifact, not public evidence, so it settles nothing (S0801 is the documentary ceiling)"
S0003,1,Bellevue rental-house and SODO premises recollections; door-desk frugality; early-office physical conditions,Amazon was here... the old Amazon office faces demolition; early employees share tales of tech giant's startup,"Kurt Schlosser, GeekWire",Local reporting with employee interviews,Secondary,1995-97,2019-04-10,2026-09-23,https://www.geekwire.com/2019/old-amazon-office-faces-demolition-early-employees-share-tales-tech-giant-startup/,UNKNOWN,3,RETROSPECTIVE INTERPRETATION,Medium,Same interview lineage as S0002 (Cook/Kaphan circle); not independent of it for premises or headcount,UNKNOWN,restoration pending - no local copy in sources/ of the GeekWire Schlosser piece (geekwire.com/2019/old-amazon-office-faces-demolition-early-employees-share-tales-tech-giant-startup); outside the restoration scope. Original note text retained verbatim: premises square footage stays UNKNOWN (U.10)
S0004,1,"Official launch 16 July 1995; $12,000 then $14,000 first-week orders; Bellevue three-bedroom rental and garage; 200-square-foot SODO warehouse; door-desks; $10,000 equity plus $84,000 loans plus $150,000 from parents; 22 investors at $50,000; 'One million titles, consistently low prices' homepage wording; 'first employee/co-founder' framing; MacKenzie biography","Amazon: The Early Years (1995-1999), HistoryLink.org Essay 23230","Jennie Cecil Moore, HistoryLink.org",Regional-history essay (cited secondary),Secondary/Tertiary,1994-99,2025-04-07,2026-09-23,https://www.historylink.org/File/23230,"sources/historylink-essay-23230_Amazon-The-Early-Years-1995-1999.txt (21,399 B) and .html",2,RETROSPECTIVE INTERPRETATION,Medium overall / Low for every day-level or dollar-level Stage-1 detail,"DERIVATIVE OF S0002 (Kaphan 2011) and S0206 (Stone 2013) for each of its distinctive Stage-1 numbers; ANCESTOR OF the 16-July, $12,000/$14,000, 200-sq-ft and homepage-tagline folklore repeated across the corpus. Its own source list is Stone 2013, Brandt 2011 and GeekWire - one lineage, not corroboration (COR-11.3: tier 2 at best)","On July 16, 1995, the website had its official launch.","RESTORED 2026-09-23 and on disk. A 2025-04-07 essay, i.e. 30 years after the window; chase its footnotes rather than citing it. Its 'ISDN numbers' is a transcription error for ISBN and must not be quoted"
S0005,1,"Enumeration of accession 0000891020-97-000839 (document count and names) used to establish that the accession is an amendment, not the original; the 38-document accounting behind COR-01/COR-04",EDGAR directory listing (index.json) for accession 0000891020-97-000839,U.S. Securities and Exchange Commission,Registry record (EDGAR directory JSON),Primary,1997-05-14,2026-09-23,2026-09-23,https://www.sec.gov/Archives/edgar/data/1018724/000089102097000839/index.json,sources/edgar_s1_index.json (616 B),1,FACT,High,"Registry metadata about S0803, not an independent account of any 1994-95 event; supports the accession correction that re-labels citations in S0801-S0803",UNKNOWN,"Legacy EDGAR blanks document names in this listing, so the complete-submission .txt files are the citable artifacts (see cache retrieval recipe)"
S0006,1,"Existence, form types and dates of all 1997 Amazon accessions, including that the FY1997 annual report is form 10-K405 (accession 0000891020-98-000448)",EDGAR submissions file CIK0001018724-submissions-002.json (1997-03-24 to 2000-01-04),U.S. Securities and Exchange Commission,Registry record (submissions index),Primary,1997-03-24,2026-09-23,2026-09-23,https://data.sec.gov/submissions/CIK0001018724-submissions-002.json,sources/s1_graphics/subs2.json,1,FACT,High,"Registry metadata only; the main submissions JSON carries 2021+ and cannot show pre-2000 filings, which is why this file is the route",UNKNOWN,On disk. Amazon's pre-2000 filings are absent from data.sec.gov/submissions/CIK0001018724.json
S0007,1,"Domain amazon.com created 1994-11-01, i.e. before public identity; bounds the Cadabra-to-Amazon rename to 1994-11-01 onward","Verisign RDAP record, domain amazon.com",Verisign (Registry Services),Domain registry record,Primary,1994-11-01,2026-09-23,2026-09-23,https://rdap.verisign.com/com/v1/domain/amazon.com,UNKNOWN,1,FACT,High on the date / Low on the registrant,"Current WHOIS privacy prevents establishing the registrant, so this evidences that a name was registered, not that Amazon held it; pre-1996 'created' dates can reflect later registry migration",UNKNOWN,"restoration pending - no local capture of the RDAP JSON for amazon.com in sources/. AUDIT 2 (2026-09-24) re-read this endpoint live and recorded the fields, but saved no file, so there is nothing to re-verify against. Original note text retained verbatim: Live registry API, not archived"
S0008,1,"Domain relentless.com created 1994-09-25, the earliest dated trace of the Bezos naming exercise and six weeks before amazon.com","Verisign RDAP record, domain relentless.com",Verisign (Registry Services),Domain registry record,Primary,1994-09-25,2026-09-23,2026-09-23,https://rdap.verisign.com/com/v1/domain/relentless.com,UNKNOWN,1,FACT,Medium-High on the date / Low on the registrant,"Registrant unestablishable (privacy); corroborates the Relentless naming element reported by S0002 and S0206, i.e. it is the only non-memory witness to that name",UNKNOWN,restoration pending - no local capture of the RDAP JSON for relentless.com in sources/. Re-read live by AUDIT 2 (2026-09-24) with no file saved. Original note text retained verbatim: Live registry API
S0009,1,"Domain relational.com created 1995-04-23, an in-window candidate-name registration","Verisign RDAP record, domain relational.com",Verisign (Registry Services),Domain registry record,Primary,1995-04-23,2026-09-23,2026-09-23,https://rdap.verisign.com/com/v1/domain/relational.com,UNKNOWN,1,FACT,High on the date,"Same registrant limitation as S0007 and S0008; dates a name, not a company decision",UNKNOWN,"restoration pending - no local capture of the RDAP JSON for relational.com in sources/, and this endpoint was NOT among those AUDIT 2 re-read (only amazon.com and relentless.com were). Original note text retained verbatim: Live registry API"
S0010,1,"Negative finding: cadabra.com was not registered until 2003-12-26, so the 1994 corporate name 'Cadabra' was never a web identity and cannot date the rename","Verisign RDAP record, domain cadabra.com",Verisign (Registry Services),Domain registry record,Primary,2003-12-26,2026-09-23,2026-09-23,https://rdap.verisign.com/com/v1/domain/cadabra.com,UNKNOWN,1,FACT (negative finding),High,Corroborates S0801 Exhibit 10.12 on a point the filing alone cannot settle; independent of every narrative source,UNKNOWN,Recorded in claims_KU U.4; URL not printed in the dossier and is given in canonical RDAP form
