company,stage,date,signal_or_failure,magnitude,what_it_demonstrated,what_it_did_not_demonstrate,source_id,evidence_class,confidence,notes
Walmart,stage1,"in-window — FY1969 and FY1970 tax years; disclosed 1972-03-22, extended 1973-03-20",IRS proposed additional assessments on surtax exemptions and inter-subsidiary reallocation for the years ended 1969-01-31 and 1970-01-31,Amount: not stated in either document; the disclosure is qualitative,The group's pre-pooling multi-entity structure was itself under challenge: the tax authority disputed how the separate corporations had allocated income among themselves,"That the assessment was sustained, or material, or about the retail business rather than the holding form","`WALMART_AR_1972.txt` Note 6 (S0101); `WALMART_AR_1973.txt` Note 6 (S0102); A2 W-06, W-40",FACT (that the assessment was proposed and extended),High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.108. 
Walmart,stage1,in-window — 1970-02-01,"The pooled group came in indebted at birth: an assumed bank note of $968,876 transferred with the ""various subsidiaries""","$968,876 against FY1970 total assets $8,493 thousand = 11.4% — DERIVED: 968,876 ÷ 8,493,000 = 0.1141","The registrant's opening consolidated position was levered against a small asset base, and the leverage was inherited, not raised",Any judgement about whether 11.4% was high for a 1970 regional retailer — no peer asset/debt figure exists in this corpus (U.113),"`WALMART_AR_1972.txt` Note 1 (S0101, W-04); FY1970 total assets RESTAT in `WALMART_AR_1978.txt` nine-year table (S0107, A3 Table S4)",FACT + DERIVED,High (rows); Medium (ratio),Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: —. 
Walmart,stage1,in-window — FY1971,A stockholder receivable was cleared during the fiscal year (part of the same capital note),printed in the FY1972 capital breakdown,Related-party balances sat inside the capital account up to the year of the float,"Who owed what, and when the balance arose — the document does not say",`WALMART_AR_1972.txt` capital note (S0101),FACT,High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: —. 
Walmart,stage1,in-window — 1970-01-01,The conversion was incomplete at the boundary: the fleet was still 14 Ben Franklin variety stores out of 32 units (18 Discount Cities + 14 variety),43.8% of units under the franchised banner — DERIVED: 14 ÷ 32 = 0.4375,"At the moment the company sold stock to the public, nearly half its stores carried another firm's banner and buying arrangement; the discount format was 8 years old and not yet the whole business","That the variety units were failing (no per-banner sales, margin or count is printed for any year) — and it does not show the format choice was vindicated by the following decade, which is Stage 2's record not this one","`WALMART_AR_1980.txt` ""Wal-Mart's Past — Foundation for the Future"" (S0109); the 18-store figure inside `WALMART_AR_1972.txt` President's message (S0101)","FACT (as company state, one lineage)",Medium-High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.029. 
Walmart,stage1,in-window — FY1970→FY1972 (comparatives printed 1972-03-22),"Liquidity fell while the chain grew: current ratio 1.87 → 1.65 across the two columns the FY1972 report prints; long-term debt appears at 809 → 4,659 (thousands) between FY1971 and FY1972",printed rows (A3 Table S4),"The FY1972 report itself carries the shape of a company funding growth with debt and working capital in the same two years it sold 200,000 shares","Causality — the report does not link the offer to the ratio, and no use-of-proceeds statement is on disk (U.210)",`WALMART_AR_1972.txt` FINANCIAL HIGHLIGHTS + A3 Table S4 (S0101),FACT (rows); INFERENCE (the pairing),High (rows); Medium (reading),Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: —. 
Walmart,stage1,"in-window — the company's own label, FY1968–FY1972","Four of the five pre-float years are captioned ""Pro forma net income"" by the registrant, i.e. the group it reports earnings for did not exist in those years","$.09 / $.12 / $.23 / $.30 / $.47 per share, FY1968→FY1972",The earliest financial series in the corpus is a self-declared construction: it begins only at the 1970-02-01 pooling and is arithmetic backwards for FY1968–FY1969,"That the underlying stores did not trade — pro forma is a statement about the reporting entity, not about activity. No opinion of any kind attaches to FY1968–FY1971 (A3 §6.1)",`WALMART_AR_1972.txt` five-year table (S0101); A3-020,FACT (of labelling),High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.102. 
Walmart,stage1,"in-window, structural (1945 - year taken from this row own evidence cell at merge, so the date column carries a year)","No failure of any kind is dated inside 1945–1962 in any document. No lost lease, rejected site, closed unit, failed venture, price war or write-off appears in the corporate print for those years",zero rows,Nothing about the firm. It measures the record: the corporate print's entire pre-1962 economic content is one office sentence (1955) and one move (1957),"That nothing went wrong — the county, newspaper and franchisor routes that would carry such a record are UNTRIED or UNANSWERED (U.206, U.211, U.212)",part 1 §A.2 items 4–6; A2 §Pre-1962 evidence ledger; nine-file negative search,EMPTY within a stated perimeter,High (that the print is silent),"Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.101, U.110. patched"
Walmart,stage1,"out-of-window, control set — FY1974","Two Ben Franklin variety stores sold, four closed",6 units,The registrant was capable of printing a contraction in its report prose as it happened,Anything about FY1945–FY1970 — except by this negative: the silence inside the window is not a genre that never reports losses,`WALMART_AR_1974.txt` (S0103),FACT,High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: —. 
Walmart,stage1,"out-of-window, control set — FY1975 → FY1979","The second format failed on the company's own accounting: two Sav-Co Home Improvement Centers opened FY1975 (54,000 sq ft) under the stated gate ""will not be expanded until [they are] operating at our expected profitability level""; the remaining Sav-Co was closed in FY1979","2 units in, 1 closure ending a 9-year experiment","A printed stop-rule and a printed write-off, in the same banner. This is what an in-window failure would have looked like in this archive if the archive began earlier","Any transfer of this pattern backwards to 1945–1970 (that would be hindsight: the genre is documented as capable, nothing more)",`WALMART_AR_1975.txt` (S0104); `WALMART_AR_1979.txt` (S0108); `timeline.csv` 1979 row,FACT,High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: —. 
Walmart,stage1,"out-of-window, control set — FY1973",Three stores lost or damaged by fire/tornado in one fiscal year; and the FY1973 store count reconciles only if ≥5 units left the base unlisted (51 + 16 new + 2 relocated ≠ 64),3 casualty events; ≥5 unexplained exits,"Even in its own best-dated year the company's store arithmetic does not close — the register's counts are net, its narratives gross","Which units, where, or under which banner — ""UNKNOWN on the exits"" (U-A2/10 → U.030)",`WALMART_AR_1973.txt` (S0102); A2 W-34,FACT + INFERENCE,High (arithmetic); UNKNOWN (exits),Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.030. 
Walmart,stage1,"out-of-window, accounting — 1975-01-31","LIFO adoption reduced FY1975 net income by $2,347,000 ($.36 pre-split / $.18 post-split) and the auditor flagged it in the opinion, by exception","$2,347,000","A company-acknowledged, auditor-flagged break in the cost-of-sales/margin series at exactly the year the register would need for a clean FY1974→FY1976 comparison","That LIFO signalled deterioration — it signalled inflation, and the direction of the effect is arithmetic not judgement",`WALMART_AR_1975.txt` opinion + S0104 quoted passage (S0104); A3 §6.1,FACT,High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: —. 
Walmart,stage1,"out-of-window, register hygiene — FY1980 table","The FY1980 ten-year summary's dividend row is refuted for 1976–1979 by each year's own report ($.09/$.11/$.19/$.25 printed against $.065/$.085/$.16/$.22), and no split factor reconciles them ($.09 ÷ $.065 = 1.38 is not a split)",4 of 4 cells,"A late retrospective table can be wrong against its own earlier prints, and the later print is the one that got into secondary lore",That the company underpaid or overpaid anything — the contemporaneous rows govern,`WALMART_AR_1980.txt` ten-year table vs `WALMART_AR_1976/77/78/1979.txt`; A3 COR-A3-04,FACT (of refutation),High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.026. 
Walmart,stage1,"research-side, this stage (1964 - year taken from this row own evidence cell at merge, so the date column carries a year)","Every ""small town greets the discounters""-style story the corpus reaches belongs to somebody else — five documented decoy families (Aldens/Gamble-Skogmo 1964; Hennepin Illinois steel town 1967; three ""Walton"" person entries 1968; Newport, Kentucky municipal item 1962; Arkansas-as-river-infrastructure 1967)","5 families, ~12 index entries",The most probable false positive in this dossier is a headline that reads like Wal-Mart's own positioning and is a competitor's or a person's,"That the company was or was not covered elsewhere — the reachable corpus is silent, the unreachable is UNTRIED (U.202, U.207, U.213)","S0112, S0114, S0115, S0119, S0120, S0121; A4-17…A4-22; `timeline.csv` 1964-10-03 row",FACT,High,Drafted at s1_p3.md M.1 (this row is the register body for failures.csv); section-anchor: U.042. patched
