source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
S0001,stage1,"F01,F02,F04,F06,F07",Tesla Motors Inc final prospectus 424B4 (lineage of S-1 acc 0001193125-10-017054),"Tesla Motors, Inc. / registrant",SEC filing,primary,2010-06-29,2010-06-29,2026-09-26,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510149105/d424b4.htm,not archived this pass,1,FACT (as to the statement),High,same lineage as S0002 and S0003; retrospective corporate self-report for 2003-2004 facts,"Tesla Motors, Inc. ... was incorporated in the state of Delaware on July 1, 2003","2,677,451 B held at sources/sec/0001193125-10-149105_d424b4.htm"
S0002,stage1,"F03,F06,F10,F11",Form S-1 registration statement (original),"Tesla Motors, Inc. / registrant",SEC filing,primary,2010-01-29,2010-01-29,2026-09-26,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510017054/ds1.htm,not archived this pass,1,FACT (as to the statement),High,same lineage as S0001; earliest held carrier,"Elon Musk has served as our Product Architect since May 2008, our Chief Executive Officer since October 2008 and as Chairman of our board of directors since April 2004","2,362,163 B held; contains NO Tesla-founder label for any person"
S0003,stage1,F05,Form S-1/A (third amendment) acc 0001193125-10-099603,"Tesla Motors, Inc. / registrant",SEC filing,primary,2010-04-29,2010-04-29,2026-09-26,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510099603/ds1a.htm,not archived this pass,1,"FOUNDER CLAIM (corporate, retrospective)",High,same lineage as S0001/S0002,"the perspective and experience he brings as our Chief Executive Officer, one of our founders and our largest stockholder",first held instance of the founder adjective; absent from S0002
S0004,stage1,F01,Tesla Motors Inc FY2010 Form 10-K,"Tesla, Inc. / registrant; audited statements",SEC filing,primary,2011-03-03,2011-03-03,2026-09-26,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511054847/d10k.htm,not archived this pass,1,FACT (as to the statement),High,"same corporate voice as S0001-S0003, different instrument and year","In June 2009, nine months after its commercial introduction","0 hits for founder / co-founder / Tarpenning / arbitrat over 608,382 chars"
S0005,stage1,F08,Tesla Motors Inc 2011 DEF 14A proxy,"Tesla, Inc. board of directors",SEC filing,primary,2011-04-08,2011-04-08,2026-09-26,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511092509/ddef14a.htm,not archived this pass,1,FACT (as to the statement),Medium-High,board-lineage repeat of S0003 wording; not independent of it,as opposed to preferred stock acquired via investment as was the case with Mr. Musk,"588,431 B held"
S0006,stage1,F10,EDGAR submissions slice CIK 1318605 for 2003-01-01 to 2012-12-31,SEC EDGAR registry,regulatory index,primary,2009-04-09,2026-09-26,2026-09-26,https://data.sec.gov/submissions/CIK0001318605.json,held at sources/_index/submissions.csv,1,FACT,High,independent of the registrant narrative (SEC registry enumeration),NO_VERBATIM_PASSAGE_RECORDED,"1,750 filings; earliest 2009-04-09 Form D; zero for 2003-2008"
S0007,stage1,F11,Wayback CDX rows for tesla.com root (4 timestamps),Internet Archive,web archive index,primary,2002-11-25,2026-09-26,2026-09-26,https://web.archive.org/cdx/search/cdx?url=www.tesla.com,transcript-retained only; see sources/wayback/README_retained_capture_evidence.md,1,FACT (capture index),Medium,independent of the registrant; captured page content never read,NO_VERBATIM_PASSAGE_RECORDED,captures 2002-11-25 / 2003-02-09 / 2003-02-14 pre-date the stated incorporation; 2006-02-09 is a 302
S0008,stage1,U.4,Wayback CDX negative artefacts (504 Gateway Time-out; IA Temporarily Offline; 0 B),Internet Archive,failed retrieval,primary,2026-09-26,2026-09-26,2026-09-26,https://web.archive.org/cdx/search/cdx,held: sources/wayback/cdx_*.json with sidecars,1,UNKNOWN,n/a,n/a,NO_VERBATIM_PASSAGE_RECORDED,UNANSWERED not null; this blocked the 2009 joint-statement lookup
S0009,stage1,U.3,Internet Archive advancedsearch responses (3 queries) and Google Books volumes feed (2),IA catalog / Google Books,catalog index,secondary,2015,2026-09-26,2026-09-26,https://archive.org/advancedsearch.php,held: sources/harvest/internet_archive and sources/harvest/google_books,3,LEAD ONLY,Low,catalog metadata only; no page text held; 2015+ retrospective accounts,NO_VERBATIM_PASSAGE_RECORDED,6 book items 2015-2018 incl elonmuskteslaspa0000vanc; 2 queries numFound 0
S0010,stage1,U.3,Corporate-print search responses (title-scoped numFound 2; creator-scoped 0),IA corporate_print route,catalog index,secondary,2008,2026-09-26,2026-09-26,https://archive.org/advancedsearch.php,held: sources/harvest/corporate_print,3,LEAD ONLY,Low,no text layer fetched; candidates tesla-logo and teslaroadster0000maur,NO_VERBATIM_PASSAGE_RECORDED,metadata year 2003 on an Annual-Reports container item is NOT treated as a 2003 document
S0011,stage1,F12,CourtListener REST v4 search answers (2 queries),CourtListener / federal courts,court index,primary,2026-09-26,2026-09-26,2026-09-26,https://www.courtlistener.com/api/rest/v4/search/,held: sources/legal/cl_*.json with sidecars,1,FACT (scope of the registry),High,"independent registry, but federal-only coverage",NO_VERBATIM_PASSAGE_RECORDED,no 2003-2010 founding record; California Superior Court out of scope so silence is not absence
S0012,stage1,U.2,No document held for the founder-dispute carriers (2009 joint statement; 2008-09 state docket; both sides own statements),UNKNOWN,not retrieved,UNKNOWN,UNKNOWN,UNTRIED,UNTRIED,UNTRIED,UNTRIED,n/a,UNKNOWN,UNKNOWN,no independent carrier reached this pass,NO_VERBATIM_PASSAGE_RECORDED,side-2 carriers named in the dossier; highest-value unwritten objects (Untried U-1 to U-3)
